node i,b_i,latitude,longitude,coordinates
Milan,0,45.4641943,9.1896346,"[45.4641943, 9.1896346]"
Verona,0,45.442497700000004,10.985737689444763,"[45.442497700000004, 10.985737689444763]"
Genoa,0,44.40726,8.9338624,"[44.40726, 8.9338624]"
Turin,0,45.0677551,7.6824892,"[45.0677551, 7.6824892]"
La Spezia,0,44.23836595,9.691232634547537,"[44.23836595, 9.691232634547537]"
Padova,0,45.391408,11.805848677115883,"[45.391408, 11.805848677115883]"
Bologna,0,44.4938203,11.3426327,"[44.4938203, 11.3426327]"
Venice,0,45.4371908,12.3345898,"[45.4371908, 12.3345898]"
Ravenna,0,44.4161414,12.2017617,"[44.4161414, 12.2017617]"
St.Gotthard,0,46.9528507,16.2748541,"[46.9528507, 16.2748541]"
Basel,0,47.5581077,7.5878261,"[47.5581077, 7.5878261]"
Stuttgart,0,48.7784485,9.1800132,"[48.7784485, 9.1800132]"
Duisburg,0,51.434999,6.759562,"[51.434999, 6.759562]"
Chongqing,0,30.05518,107.8748712,"[30.05518, 107.8748712]"
Qinzhou,0,21.72728717807111,108.58876247849621,"[21.72728717807111, 108.58876247849621]"
